"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Los Angeles","CA",NA,71.8,69.6110999783601,6.02,2.91,71,70,10039107,6037,TRUE,"ModerateBurden"
"Cook","IL",NA,72.5,70.3132460577428,7.32,4.4,61,65,5150233,17031,TRUE,"Hotspot"
"Maricopa","AZ",NA,57,52.0539383453395,13.9,10.49,65,65,4485414,4013,TRUE,"Hotspot"
"King","WA",NA,80.8,78.8290599346596,5.56,4.05,77,71,2252782,53033,TRUE,"Hotspot"
"New York","NY",NA,84.9,84.1901243009686,4.57,3.13,70,73,1628706,36061,TRUE,"SustainedHotspot"
"Kings","NY",NA,71.6,70.5499106019109,6.27,4.42,70,73,2559903,36047,TRUE,"Hotspot"
"San Diego","CA",NA,70.4,67.9037734602841,6.17,3.01,71,73,3338330,6073,TRUE,"ModerateBurdenResolving"
"Middlesex","MA",NA,79.1,76.9329189202665,4.02,2.94,78,79,1611699,25017,TRUE,"SustainedHotspot"
"Miami-Dade","FL",NA,84.5,82.2865648237186,11.25,7.19,72,70,2716940,12086,TRUE,"Hotspot"
"Queens","NY",NA,85.9,85.4908524712755,5.1,3.6,70,73,2253858,36081,TRUE,"Hotspot"
"Harris","TX",NA,63.4,60.2430414294926,10.57,6.91,87,88,4713325,48201,TRUE,"Hotspot"
"Nassau","NY",NA,81.2,78.0257801072299,4.77,3.43,70,62,1356924,36059,TRUE,"SustainedHotspot"
"Snohomish","WA",NA,70.6,67.235187254115,7.06,5.15,77,71,822083,53061,TRUE,"EmergingHotspot"
"Onondaga","NY",NA,73.3,69.1432633205913,6.55,4.53,70,83,460528,36067,TRUE,"SustainedHotspot"
"Bergen","NJ",NA,77.2,74.6350597346489,3.86,2.63,41,35,932202,34003,TRUE,"SustainedHotspot"
"Suffolk","MA",NA,73,71.5244595760393,4.42,3.17,78,79,803907,25025,TRUE,"SustainedHotspot"
"Westchester","NY",NA,80.4,78.0893369726844,5.03,3.57,70,62,967506,36119,TRUE,"SustainedHotspot"
"Santa Clara","CA",NA,85.9,84.3981061966321,4.13,2.06,71,78,1927852,6085,TRUE,"EmergingHotspot"
"Collin","TX",NA,67,64.2365369656955,8.3,5.42,87,88,1034730,48085,TRUE,"SustainedHotspot"
"Broward","FL",NA,71.1,66.865425671623,12.15,7.91,72,70,1952778,12011,TRUE,"Hotspot"
"Fairfield","CT",NA,81.1,78.4782146060967,4.99,2.78,66,52,943332,9001,TRUE,"Hotspot"
"Suffolk","NY",NA,75.4,71.4082689296206,5.53,3.94,70,62,1476601,36103,TRUE,"Hotspot"
"Fresno","CA",NA,60.9,57.0460999170384,7.06,3.45,71,84,999101,6019,TRUE,"EmergingHotspot"
"Wayne","MI",NA,54.1,48.9323018833721,9.88,6.02,73,72,1749343,26163,TRUE,"Hotspot"
"Bexar","TX",NA,69.2,65.5998986251304,10.05,6.41,87,88,2003554,48029,TRUE,"ModerateBurdenResolving"
"Fulton","GA",NA,56.2,52.667034384439,10.85,6.6,74,75,1063937,13121,TRUE,"Hotspot"
"Monroe","NY",NA,72.2,67.7908004661564,6.36,4.38,70,74,741770,36055,TRUE,"SustainedHotspot"
"Erie","NY",NA,69.7,65.5629526502868,6.44,4.45,70,74,918702,36029,TRUE,"Hotspot"
"Middlesex","NJ",NA,73.4,71.1545302335239,4.1,2.79,41,48,825062,34023,TRUE,"Hotspot"
"District of Columbia",NA,NA,69.3,66.4038268103122,6.55,4.03,80,67,705749,11001,TRUE,"Hotspot"
"Alameda","CA",NA,81.8,79.8551003961767,4.79,2.37,71,69,1671329,6001,TRUE,"EmergingHotspot"
"DeKalb","GA",NA,56.1,52.4417585485411,12.16,7.45,74,75,759297,13089,TRUE,"Hotspot"
"Pinal","AZ",NA,53.6,47.614484557845,16.35,12.58,65,65,462789,4021,TRUE,"Hotspot"
"Essex","NJ",NA,72.1,70.051685981111,5.35,3.61,41,48,798975,34013,TRUE,"Hotspot"
"DuPage","IL",NA,77,73.586082232879,6.3,3.81,61,65,922921,17043,TRUE,"Hotspot"
"Dallas","TX",NA,60.2,57.0583461714296,10.78,7.04,87,88,2635516,48113,TRUE,"ModerateBurden"
"Oakland","MI",NA,66.2,61.4632302793468,7.19,4.36,73,72,1257584,26125,TRUE,"EmergingHotspot"
"Hidalgo","TX",NA,72.9,70.8695269252818,10.74,6.95,87,85,868707,48215,TRUE,"SustainedHotspot"
"Clark","NV",NA,57.3,53.2909448795094,11.83,6.24,77,79,2266715,32003,TRUE,"Hotspot"
"Philadelphia","PA",NA,69,65.3454204077325,10.96,7.09,76,75,1584064,42101,TRUE,"Hotspot"
"Norfolk","MA",NA,78.6,76.4962272626676,3.8,2.81,78,79,706775,25021,TRUE,"SustainedHotspot"
"Wayne","NC",NA,48.5,43.4162987591356,14.29,10.93,79,86,123131,37191,TRUE,"SustainedHotspot"
"Honolulu","HI",NA,77.9,74.6523543528802,5.07,2.75,64,62,974563,15003,FALSE,"Hotspot"
"Bronx","NY",NA,74.5,72.7112078002659,6.76,4.65,70,73,1418207,36005,TRUE,"Hotspot"
"Hudson","NJ",NA,77.5,76.9799459412457,4.66,3.07,41,35,672391,34017,TRUE,"Hotspot"
"Hennepin","MN",NA,73.9,70.5762676418565,6.19,3.3,71,78,1265843,27053,TRUE,"ModerateBurden"
"Fort Bend","TX",NA,71.4,68.1655614335743,7.95,5.24,87,88,811688,48157,TRUE,"Hotspot"
"Montgomery","MD",NA,86.7,85.0146382785028,5.26,2.76,66,67,1050688,24031,TRUE,"Hotspot"
"Pierce","WA",NA,65.4,61.1602810953489,7.87,5.73,77,89,904980,53053,TRUE,"ModerateBurden"
"San Bernardino","CA",NA,57.6,54.0709157426635,7.4,3.61,71,63,2180085,6071,TRUE,"ModerateBurden"
"Fairfax","VA",NA,76.3,74.6088071199384,3.71,2.56,64,67,1147532,51059,TRUE,"Hotspot"
"Palm Beach","FL",NA,65.9,58.9939718061741,11.38,7.46,72,68,1496770,12099,TRUE,"Hotspot"
"San Francisco","CA",NA,83.2,81.9931295660378,3.88,1.92,71,67,881549,6075,TRUE,"Hotspot"
"Orange","FL",NA,69.1,65.5519294155969,12.38,7.97,72,72,1393452,12095,TRUE,"EmergingHotspot"
"Travis","TX",NA,69.9,67.7576664917941,9.16,5.88,87,94,1273954,48453,TRUE,"Hotspot"
"Macomb","MI",NA,56.8,50.812849539078,9.14,5.59,73,72,873972,26099,TRUE,"Hotspot"
"Monmouth","NJ",NA,67.9,64.2163666723582,4.4,3,41,34,618795,34025,TRUE,"Hotspot"
"Washtenaw","MI",NA,70.9,66.6930653414241,7.08,4.32,73,72,367601,26161,TRUE,"Hotspot"
"Orange","CA",NA,71.5,68.2110262046634,5.37,2.64,71,70,3175692,6059,TRUE,"Hotspot"
"Providence","RI",NA,70.3,66.0343161037205,7.24,5.35,81,85,638931,44007,TRUE,"Hotspot"
"Worcester","MA",NA,69.6,66.1722626440745,4.9,3.56,78,91,830622,25027,TRUE,"Hotspot"
"Dane","WI",NA,82.5,80.2535442635212,12.19,6.99,69,78,546695,55025,TRUE,"Hotspot"
"Essex","MA",NA,73.6,70.2664574496651,4.5,3.3,78,82,789034,25009,TRUE,"Hotspot"
"New Haven","CT",NA,77.2,73.649340440591,5.79,3.18,66,64,854757,9009,TRUE,"ModerateBurden"
"Hartford","CT",NA,75.5,71.3799177963348,5.31,2.9,66,75,891720,9003,TRUE,"Hotspot"
"Ocean","NJ",NA,54.2,46.4910847422148,5.48,3.72,41,34,607186,34029,TRUE,"Hotspot"
"Cobb","GA",NA,58.1,54.1518789149852,11.95,7.32,74,84,760141,13067,TRUE,"Hotspot"
"Morris","NJ",NA,77.4,74.465580090579,3.97,2.71,41,50,491845,34027,TRUE,"SustainedHotspot"
"Cameron","TX",NA,78.8,76.4576170021302,10.5,6.83,87,90,423163,48061,TRUE,"SustainedHotspot"
"Multnomah","OR",NA,78.9,76.180372594815,9.25,6.77,73,79,812855,41051,TRUE,"EmergingHotspot"
"Lake","IL",NA,77.9,75.6880495876041,7.12,4.33,61,65,696535,17097,TRUE,"Hotspot"
"San Mateo","CA",NA,83.5,81.5868464566921,4.28,2.15,71,67,766573,6081,TRUE,"EmergingHotspot"
"Anchorage Municipality","AK",NA,67.2,63.7773449944018,16.48,11.89,79,87,288000,2020,TRUE,"ModerateBurden"
"Cumberland","NC",NA,60.5,56.7676564836557,14.61,11.12,79,78,335509,37051,TRUE,"SustainedHotspot"
"Contra Costa","CA",NA,81.4,78.7746851723616,5.43,2.7,71,69,1153526,6013,TRUE,"ModerateBurden"
"Sacramento","CA",NA,67.3,63.5079900833658,6.87,3.37,71,83,1552058,6067,TRUE,"ModerateBurden"
"Guilford","NC",NA,61.3,55.9842269810301,12.02,9.2,79,76,537174,37081,TRUE,"EmergingHotspot"
"Tulsa","OK",NA,61.4,55.8827818230958,16.69,11.39,75,79,651552,40143,TRUE,"EmergingHotspot"
"Richmond","NY",NA,73.8,70.7721507616362,5.67,4.01,70,73,476143,36085,TRUE,"Hotspot"
"Union","NJ",NA,71.1,69.8194345219727,5.04,3.4,41,48,556341,34039,TRUE,"Hotspot"
"Hillsborough","FL",NA,62.5,57.8728771699557,12.89,8.33,72,71,1471968,12057,TRUE,"EmergingHotspot"
"Pima","AZ",NA,68.5,61.9921291654302,13.71,10.32,65,61,1047279,4019,TRUE,"ModerateBurden"
"Albemarle","VA",NA,64.6,60.7429098180732,5.5,3.78,64,63,109330,51003,TRUE,"Hotspot"
"Montgomery","PA",NA,76.1,71.9507980238345,8.56,5.61,76,75,830915,42091,TRUE,"ModerateBurden"
"Oswego","NY",NA,59.3,53.8317641120857,7.98,5.6,70,83,117124,36075,TRUE,"SustainedHotspot"
"Riverside","CA",NA,58.7,54.3596857126437,6.9,3.35,71,63,2470546,6065,TRUE,"ModerateBurden"
"Passaic","NJ",NA,69.9,67.3097501697198,5.33,3.59,41,35,501826,34031,TRUE,"ModerateBurdenResolving"
"Wichita","TX",NA,53.2,46.2495428635174,12.96,8.55,87,97,132230,48485,TRUE,"SustainedHotspot"
"Will","IL",NA,67.8,64.2810370618751,7.84,4.77,61,57,690743,17197,TRUE,"ModerateBurden"
"Ada","ID",NA,64,58.5969219257512,17.71,11.4,65,77,481587,16001,TRUE,"HighBurdenResolving"
"Franklin","OH",NA,64.2,60.4454612993869,12.67,7.41,66,84,1316756,39049,TRUE,"EmergingHotspot"
"Orange","NY",NA,64.6,60.7641963009486,6.67,4.71,70,49,384940,36071,TRUE,"EmergingHotspot"
"Arlington","VA",NA,71.3,70.4104250942532,3.59,2.39,64,67,236842,51013,TRUE,"SustainedHotspot"
"Midland","TX",NA,43,39.2283986157558,10.34,6.7,87,84,176832,48329,TRUE,"SustainedHotspot"
"Oklahoma","OK",NA,64.7,60.103009723737,16.79,11.37,75,79,797434,40109,TRUE,"ModerateBurden"
"Durham","NC",NA,70.5,67.070995975033,11.38,8.61,79,90,321488,37063,TRUE,"EmergingHotspot"
"Milwaukee","WI",NA,64.2,59.836058741276,15.05,8.8,69,75,945726,55079,TRUE,"ModerateBurden"
"Mecklenburg","NC",NA,62.8,59.237277680486,11.09,8.32,79,84,1110356,37119,TRUE,"ModerateBurden"
"Butler","OH",NA,56.7,51.5184446525804,13.36,8.01,66,72,383134,39017,TRUE,"Hotspot"
"Oneida","NY",NA,62.6,57.0574687587725,7.4,5.2,70,74,228671,36065,TRUE,"SustainedHotspot"
"St. Louis","MO",NA,63.7,58.2294934579959,10.67,6.16,73,80,994205,29189,TRUE,"ModerateBurden"
"Williamson","TX",NA,68.6,64.8363862331002,9.46,6.1,87,94,590551,48491,TRUE,"EmergingHotspot"
"Gwinnett","GA",NA,55,51.21050813418,11.78,7.24,74,75,936250,13135,TRUE,"Hotspot"
"Monterey","CA",NA,72.2,69.8807324661883,6.77,3.33,71,78,434061,6053,TRUE,"ModerateBurden"
"Cuyahoga","OH",NA,64.7,59.4438156252744,12.19,7.13,66,74,1235072,39035,TRUE,"EmergingHotspot"
"Jefferson","KY",NA,63.7,59.1508366968998,15.89,10.11,80,83,766757,21111,TRUE,"ModerateBurden"
"Wake","NC",NA,72.7,69.469895810394,10.18,7.69,79,85,1111761,37183,TRUE,"ModerateBurdenResolving"
"Hampden","MA",NA,65.4,61.0468324144157,5.2,3.73,78,57,466372,25013,TRUE,"EmergingHotspot"
"Allegheny","PA",NA,69.4,65.2162873731862,9.34,5.99,76,75,1216045,42003,TRUE,"ModerateBurden"
"Denver","CO",NA,75.6,74.0893113714185,6.58,3.82,59,65,727211,8031,TRUE,"Hotspot"
"Rockland","NY",NA,63.8,59.3776031682048,6.9,4.98,70,35,325789,36087,TRUE,"Hotspot"
"Spartanburg","SC",NA,43.7,37.5361470564412,14.43,8.14,64,76,319785,45083,TRUE,"EmergingHotspot"
