"DATE","TOTAL_CASES","NEW_CASES","TOTAL_CONFIRMED","NEW_CONFIRMED","TOTAL_PROBABLE","NEW_PROBABLE","POS_TESTS","NEW_POS_TESTS","NEG_TESTS","NEW_NEG_TESTS","TOTAL_TESTS","NEW_TESTS","NEW_DEATHS","TOTAL_DEATHS","NEW_HOSPITALIZED","TOTAL_HOSPITALIZED","TOTAL_DEATHS_BY_DOD","Region","Population","New_cases_per_100k_per_week","PositivityRate_per_week","Tests_per_100k","New_cases_per_100k","PositivityPercentage_per_week"
2023-11-18,166966,18,121227,10,45739,8,130514,11,592102,95,722616,106,0,1645,0,2958,1646,"Knox County",470313,NA,NA,22.5381820192085,3.82723845609201,NA
2023-11-17,166948,73,121217,66,45731,7,130503,66,592007,317,722510,383,1,1645,0,2958,1646,"Knox County",470313,NA,NA,81.435129371291,15.5215781830398,NA
2023-11-16,166875,38,121151,21,45724,17,130437,21,591690,96,722127,117,0,1644,0,2958,1646,"Knox County",470313,NA,NA,24.877049964598,8.07972562952757,NA
2023-11-15,166837,38,121130,24,45707,14,130416,24,591594,143,722010,167,3,1644,0,2958,1646,"Knox County",470313,NA,NA,35.508267898187,8.07972562952757,NA
2023-11-14,166799,47,121106,24,45693,23,130392,26,591451,107,721843,133,0,1641,0,2958,1646,"Knox County",470313,NA,NA,28.2790397033465,9.99334485757357,NA
2023-11-13,166752,72,121082,49,45670,23,130366,52,591344,197,721710,249,0,1641,0,2958,1646,"Knox County",470313,NA,NA,52.9434653092728,15.308953824368,NA
2023-11-12,166680,22,121033,15,45647,7,130314,15,591147,149,721461,164,0,1641,0,2958,1646,"Knox County",470313,65.4883024709077,0.163002274450341,34.8703948221716,4.67773589077912,16.3002274450341
2023-11-11,166658,24,121018,16,45640,8,130299,16,590998,64,721297,80,0,1641,0,2958,1646,"Knox County",470313,66.7640486229383,0.17014694508894,17.0099486937423,5.10298460812268,17.014694508894
2023-11-10,166634,35,121002,13,45632,22,130283,13,590934,102,721217,115,0,1641,0,2958,1646,"Knox County",470313,58.6843229934108,0.162926829268293,24.4518012472545,7.44185255351224,16.2926829268293
2023-11-09,166599,63,120989,39,45610,24,130270,37,590832,161,721102,198,0,1641,0,2958,1646,"Knox County",470313,63.9999319602052,0.165461121157324,42.0996230170121,13.395334596322,16.5461121157324
2023-11-08,166536,54,120950,32,45586,22,130233,32,590671,147,720904,179,0,1641,0,2958,1646,"Knox County",470313,67.4019216989537,0.170840787119857,38.0597602022483,11.481715368276,17.0840787119857
2023-11-07,166482,58,120918,28,45564,30,130201,29,590524,72,720725,101,0,1641,0,2958,1646,"Knox County",470313,69.7407896443432,0.178637200736648,21.4750602258496,12.3322128029631,17.8637200736648
2023-11-06,166424,35,120890,13,45534,22,130172,15,590452,81,720624,96,0,1641,0,2958,1646,"Knox County",470313,61.8736883734874,0.168274383708467,20.4119384324907,7.44185255351224,16.8274383708467
2023-11-05,166389,12,120877,5,45512,7,130157,5,590371,72,720528,77,0,1641,0,2958,1646,"Knox County",470313,59.7474447867697,0.173758865248227,16.3720756177269,2.55149230406134,17.3758865248227
2023-11-04,166377,21,120872,11,45505,10,130152,11,590299,94,720451,105,0,1641,0,2958,1646,"Knox County",470313,59.1095717107543,0.163030998851894,22.3255576605367,4.46511153210734,16.3030998851894
2023-11-03,166356,46,120861,27,45495,19,130141,26,590205,94,720346,120,0,1641,0,2958,1646,"Knox County",470313,61.4484396561439,0.176940639269406,25.5149230406134,9.7807204989018,17.6940639269406
2023-11-02,166310,39,120834,19,45476,20,130115,16,590111,99,720226,115,0,1641,0,2958,1646,"Knox County",470313,56.3454550480212,0.168978562421185,24.4518012472545,8.29234998819935,16.8978562421185
2023-11-01,166271,53,120815,35,45456,18,130099,35,590012,153,720111,188,1,1641,0,2958,1646,"Knox County",470313,56.1328306893494,0.170822942643392,39.9733794302943,11.2690910096042,17.0822942643392
2023-10-31,166218,34,120780,20,45438,14,130064,21,589859,64,719923,85,0,1640,0,2958,1646,"Knox County",470313,51.0298460812268,0.16412213740458,18.0730704871011,7.22922819484046,16.412213740458
2023-10-30,166184,40,120760,21,45424,19,130043,20,589795,73,719838,93,4,1640,0,2958,1646,"Knox County",470313,52.0929678745856,0.171136653895275,19.7740653564754,8.50497434687113,17.1136653895275
2023-10-29,166144,15,120739,7,45405,8,130023,8,589722,31,719745,39,0,1636,0,2958,1646,"Knox County",470313,52.730840950601,0.183892617449664,8.29234998819935,3.18936538007667,18.3892617449664
2023-10-28,166129,16,120732,4,45397,12,130015,5,589691,34,719706,39,0,1636,0,2958,1646,"Knox County",470313,51.6677191572421,0.192930780559647,8.29234998819935,3.40198973874845,19.2930780559647
2023-10-27,166113,50,120728,24,45385,26,130010,24,589657,136,719667,160,0,1636,0,2958,1646,"Knox County",470313,52.5182165919292,0.179415855354659,34.0198973874845,10.6312179335889,17.9415855354659
2023-10-26,166063,84,120704,48,45359,36,129986,49,589521,164,719507,213,0,1636,0,2958,1646,"Knox County",470313,62.0863127321592,0.19828641370869,45.2889883970888,17.8604461284294,19.828641370869
2023-10-25,165979,33,120656,20,45323,13,129937,22,589357,93,719294,115,0,1636,0,2958,1646,"Knox County",470313,57.8338255587237,0.200268817204301,24.4518012472545,7.01660383616868,20.0268817204301
2023-10-24,165946,44,120636,29,45310,15,129915,28,589264,94,719179,122,0,1636,0,2958,1646,"Knox County",470313,59.9600691454414,0.199743918053777,25.9401717579569,9.35547178155824,19.9743918053777
2023-10-23,165902,35,120607,11,45295,24,129887,11,589170,51,719057,62,0,1636,0,2958,1646,"Knox County",470313,58.8969473520825,0.196,13.1827102376502,7.44185255351224,19.6
2023-10-22,165867,19,120596,11,45271,8,129876,12,589119,93,718995,105,0,1636,0,2958,1646,"Knox County",470313,59.7474447867697,0.185049019607843,22.3255576605367,4.03986281476378,18.5049019607843
2023-10-21,165848,12,120585,4,45263,8,129864,4,589026,42,718890,46,0,1636,0,2958,1646,"Knox County",470313,58.8969473520825,0.182260024301337,9.7807204989018,2.55149230406134,18.2260024301337
2023-10-20,165836,27,120581,11,45255,16,129860,9,588984,65,718844,74,0,1636,0,2958,1646,"Knox County",470313,54.0065871026316,0.183175033921303,15.7342025417116,5.74085768413801,18.3175033921303
2023-10-19,165809,51,120570,31,45239,20,129851,31,588919,160,718770,191,1,1636,0,2958,1646,"Knox County",470313,46.989983266463,0.163636363636364,40.6112525063096,10.8438422922607,16.3636363636364
2023-10-18,165758,26,120539,17,45219,9,129820,18,588759,88,718579,106,0,1635,1,2958,1646,"Knox County",470313,45.5016127557605,0.160056657223796,22.5381820192085,5.52823332546623,16.0056657223796
2023-10-17,165732,18,120522,10,45210,8,129802,10,588671,84,718473,94,0,1635,0,2957,1646,"Knox County",470313,39.9733794302943,0.140117994100295,19.9866897151471,3.82723845609201,14.0117994100295
2023-10-16,165714,16,120512,10,45202,6,129792,11,588587,51,718379,62,0,1635,0,2957,1645,"Knox County",470313,35.9335166155305,0.140117994100295,13.1827102376502,3.40198973874845,14.0117994100295
2023-10-15,165698,13,120502,7,45196,6,129781,7,588536,40,718317,47,0,1635,0,2957,1645,"Knox County",470313,34.6577704634998,0.145161290322581,9.99334485757357,2.76411666273312,14.5161290322581
2023-10-14,165685,8,120495,4,45190,4,129774,3,588496,39,718270,42,0,1635,0,2957,1645,"Knox County",470313,33.8072730288127,0.14448051948052,8.93022306421468,1.70099486937423,14.448051948052
2023-10-13,165677,38,120491,23,45186,15,129771,21,588457,81,718228,102,0,1635,0,2957,1645,"Knox County",470313,36.1461409742023,0.156832298136646,21.6876845845214,8.07972562952757,15.6832298136646
2023-10-12,165639,32,120468,22,45171,10,129750,23,588376,145,718126,168,0,1635,0,2957,1645,"Knox County",470313,32.1062781594385,0.14975845410628,35.7208922568587,6.8039794774969,14.975845410628
2023-10-11,165607,33,120446,18,45161,15,129727,18,588231,105,717958,123,1,1635,0,2957,1645,"Knox County",470313,33.594648670141,0.14576802507837,26.1527961166287,7.01660383616868,14.576802507837
2023-10-10,165574,36,120428,20,45146,16,129709,22,588126,101,717835,123,0,1634,1,2957,1645,"Knox County",470313,37.421887126233,0.157421289355322,26.1527961166287,7.65447691218401,15.7421289355322
2023-10-09,165538,28,120408,15,45130,13,129687,15,588025,62,717712,77,0,1634,0,2956,1645,"Knox County",470313,39.9733794302943,0.159824046920821,16.3720756177269,5.95348204280979,15.9824046920821
2023-10-08,165510,20,120393,17,45117,3,129672,18,587963,56,717635,74,0,1634,0,2956,1645,"Knox County",470313,41.4617499409967,0.169252468265162,15.7342025417116,4.25248717343556,16.9252468265162
2023-10-07,165490,10,120376,7,45114,3,129654,7,587907,62,717561,69,0,1634,0,2956,1645,"Knox County",470313,41.8869986583403,0.168478260869565,14.6710807483527,2.12624358671778,16.8478260869565
2023-10-06,165480,26,120369,13,45111,13,129647,13,587845,51,717492,64,0,1634,0,2956,1645,"Knox County",470313,39.335506354279,0.166189111747851,13.6079589549938,5.52823332546623,16.6189111747851
2023-10-05,165454,52,120356,35,45098,17,129634,36,587794,159,717428,195,0,1634,0,2956,1645,"Knox County",470313,43.5879935277145,0.177931034482759,41.4617499409967,11.0564666509325,17.7931034482759
2023-10-04,165402,36,120321,21,45081,15,129598,22,587635,110,717233,132,1,1634,0,2956,1645,"Knox County",470313,44.2258666037299,0.181198910081744,28.0664153446747,7.65447691218401,18.1198910081744
2023-10-03,165366,30,120300,12,45066,18,129576,12,587525,55,717101,67,1,1633,0,2956,1645,"Knox County",470313,42.9501204516992,0.18141592920354,14.2458320310091,6.37873076015334,18.141592920354
2023-10-02,165336,37,120288,21,45048,16,129564,21,587470,75,717034,96,1,1632,0,2956,1645,"Knox County",470313,44.8637396797452,0.185078909612626,20.4119384324907,7.86710127085579,18.5078909612626
2023-10-01,165299,38,120267,22,45032,16,129543,24,587395,105,716938,129,0,1631,0,2956,1645,"Knox County",470313,48.6909781358372,0.179521276595745,27.4285422686594,8.07972562952757,17.9521276595745
2023-09-30,165261,0,120245,0,45016,0,129519,0,587290,0,716809,0,0,1631,0,2956,1645,"Knox County",470313,46.5647345491194,0.187408491947291,0,0,18.7408491947291
2023-09-29,165261,29,120245,20,45016,9,129519,20,587290,127,716809,147,0,1631,0,2956,1644,"Knox County",470313,47.2026076251348,0.176240208877285,31.2557807247514,6.16610640148157,17.6240208877285
2023-09-28,165232,28,120225,18,45007,10,129499,18,587163,118,716662,136,1,1631,0,2956,1643,"Knox County",470313,42.0996230170121,0.165487977369165,28.9169127793618,5.95348204280979,16.5487977369165
2023-09-27,165204,42,120207,28,44997,14,129481,29,587045,148,716526,177,4,1630,0,2956,1643,"Knox County",470313,43.3753691690427,0.164893617021277,37.6345114849047,8.93022306421468,16.4893617021277
2023-09-26,165162,51,120179,24,44983,27,129452,25,586897,91,716349,116,1,1626,0,2956,1643,"Knox County",470313,47.8404807011501,0.17103620474407,24.6644256059263,10.8438422922607,17.103620474407
2023-09-25,165111,52,120155,20,44956,32,129427,20,586806,54,716233,74,0,1625,0,2956,1643,"Knox County",470313,51.0298460812268,0.174582798459564,15.7342025417116,11.0564666509325,17.4582798459564
2023-09-24,165059,52,120135,22,44924,30,129407,22,586752,95,716159,117,0,1625,0,2956,1643,"Knox County",470313,54.0065871026316,0.17470664928292,24.877049964598,11.0564666509325,17.470664928292
2023-09-23,165007,0,120113,0,44894,0,129385,0,586657,0,716042,0,0,1625,0,2956,1641,"Knox County",470313,54.0065871026316,0.17470664928292,0,0,17.470664928292
2023-09-22,165007,28,120113,11,44894,17,129385,11,586657,60,716042,71,0,1625,0,2956,1641,"Knox County",470313,53.7939627439599,0.180897250361794,15.0963294656962,5.95348204280979,18.0897250361794
2023-09-21,164979,56,120102,36,44877,20,129374,37,586597,143,715971,180,0,1625,0,2956,1641,"Knox County",470313,59.7474447867697,0.195918367346939,38.2723845609201,11.9069640856196,19.5918367346939
2023-09-20,164923,48,120066,23,44857,25,129337,23,586454,152,715791,175,0,1625,0,2956,1641,"Knox County",470313,61.0231909388003,0.188267394270123,37.2092627675612,10.2059692162454,18.8267394270123
2023-09-19,164875,72,120043,34,44832,38,129314,36,586302,143,715616,179,0,1625,0,2956,1641,"Knox County",470313,65.4883024709077,0.187185929648241,38.0597602022483,15.308953824368,18.7185929648241
