"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"All Hospital Beds",3186,2369,"817",74.4,25.6,2020-06-24 23:23:52
"ICU Beds",272,250,"22",91.9,8.1,2020-06-24 23:23:52
"Ventilators",242,80,"162",33.1,62.9,2020-06-24 23:23:52
"All Hospital Beds",3186,2369,"817",74.4,25.6,2020-06-25 10:12:00
"ICU Beds",272,250,"22",91.9,8.1,2020-06-25 10:12:00
"Ventilators",242,80,"162",33.1,62.9,2020-06-25 10:12:00
"All Hospital Beds",3186,2369,"817",74.4,25.6,2020-06-26 10:12:00
"ICU Beds",272,250,"22",91.9,8.1,2020-06-26 10:12:00
"Ventilators",242,80,"162",33.1,62.9,2020-06-26 10:12:00
"All Hospital Beds",3186,2430,"756",76.3,23.7,2020-06-28 10:12:00
"ICU Beds",272,233,"39",85.7,14.3,2020-06-28 10:12:00
"Ventilators",242,78,"164",32.2,67.8,2020-06-28 10:12:00
"All Hospital Beds",3186,2430,"756",76.3,23.7,2020-06-29 10:12:00
"ICU Beds",272,233,"39",85.7,14.3,2020-06-29 10:12:00
"Ventilators",242,78,"164",32.2,67.8,2020-06-29 10:12:00
"All Hospital Beds",3186,2430,"756",76.3,23.7,2020-06-30 10:12:00
"ICU Beds",272,233,"39",85.7,14.3,2020-06-30 10:12:00
"Ventilators",242,78,"164",32.2,67.8,2020-06-30 10:12:00
"All Hospital Beds",3186,2430,"756",76.3,23.7,2020-07-01 10:12:00
"ICU Beds",272,233,"39",85.7,14.3,2020-07-01 10:12:00
"Ventilators",242,78,"164",32.2,67.8,2020-07-01 10:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-01 15:17:54
"ICU Beds",272,242,"30",89,11,2020-07-01 15:17:54
"Ventilators",242,92,"150",38,62,2020-07-01 15:17:54
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-01 18:12:01
"ICU Beds",272,242,"30",89,11,2020-07-01 18:12:01
"Ventilators",242,92,"150",38,62,2020-07-01 18:12:01
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-02 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-02 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-02 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-02 06:12:01
"ICU Beds",272,242,"30",89,11,2020-07-02 06:12:01
"Ventilators",242,92,"150",38,62,2020-07-02 06:12:01
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-02 12:12:01
"ICU Beds",272,242,"30",89,11,2020-07-02 12:12:01
"Ventilators",242,92,"150",38,62,2020-07-02 12:12:01
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-02 18:12:00
"ICU Beds",272,242,"30",89,11,2020-07-02 18:12:00
"Ventilators",242,92,"150",38,62,2020-07-02 18:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-03 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-03 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-03 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-03 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-03 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-03 06:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-03 12:12:00
"ICU Beds",272,242,"30",89,11,2020-07-03 12:12:00
"Ventilators",242,92,"150",38,62,2020-07-03 12:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-03 18:12:00
"ICU Beds",272,242,"30",89,11,2020-07-03 18:12:00
"Ventilators",242,92,"150",38,62,2020-07-03 18:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-04 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-04 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-04 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-04 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-04 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-04 06:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-04 12:12:00
"ICU Beds",272,242,"30",89,11,2020-07-04 12:12:00
"Ventilators",242,92,"150",38,62,2020-07-04 12:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-04 18:12:00
"ICU Beds",272,242,"30",89,11,2020-07-04 18:12:00
"Ventilators",242,92,"150",38,62,2020-07-04 18:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-05 00:12:01
"ICU Beds",272,242,"30",89,11,2020-07-05 00:12:01
"Ventilators",242,92,"150",38,62,2020-07-05 00:12:01
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-05 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-05 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-05 06:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-05 12:12:00
"ICU Beds",272,242,"30",89,11,2020-07-05 12:12:00
"Ventilators",242,92,"150",38,62,2020-07-05 12:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-06 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-06 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-06 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-06 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-06 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-06 06:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-06 12:12:00
"ICU Beds",272,242,"30",89,11,2020-07-06 12:12:00
"Ventilators",242,92,"150",38,62,2020-07-06 12:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-06 18:12:00
"ICU Beds",272,242,"30",89,11,2020-07-06 18:12:00
"Ventilators",242,92,"150",38,62,2020-07-06 18:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-07 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-07 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-07 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-07 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-07 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-07 06:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-07 12:12:00
"ICU Beds",272,242,"30",89,11,2020-07-07 12:12:00
"Ventilators",242,92,"150",38,62,2020-07-07 12:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-07 18:12:00
"ICU Beds",272,242,"30",89,11,2020-07-07 18:12:00
"Ventilators",242,92,"150",38,62,2020-07-07 18:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-08 00:12:00
"ICU Beds",272,242,"30",89,11,2020-07-08 00:12:00
"Ventilators",242,92,"150",38,62,2020-07-08 00:12:00
"All Hospital Beds",3186,2476,"710",77.7,22.3,2020-07-08 06:12:00
"ICU Beds",272,242,"30",89,11,2020-07-08 06:12:00
"Ventilators",242,92,"150",38,62,2020-07-08 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-08 12:12:00
"ICU Beds",272,251,"71",92.3,7.7,2020-07-08 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-08 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-08 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-08 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-08 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-09 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-09 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-09 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-09 06:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-09 06:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-09 06:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-09 12:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-09 12:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-09 12:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-09 18:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-09 18:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-09 18:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-10 00:12:00
"ICU Beds",272,251,"21",92.3,7.7,2020-07-10 00:12:00
"Ventilators",242,98,"144",40.5,59.5,2020-07-10 00:12:00
"All Hospital Beds",3186,2534,"652",79.5,20.5,2020-07-10 06:12:00
