"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Maricopa","AZ",NA,56.9,51.9682308134683,13.9,10.49,66,67,4485414,4013,TRUE,"EmergingHotspot"
"Los Angeles","CA",NA,71.7,69.5210235083156,6.02,2.91,71,71,10039107,6037,TRUE,"ModerateBurden"
"Cook","IL",NA,72.2,70.0683749567779,7.32,4.4,62,67,5150233,17031,TRUE,"Hotspot"
"Bexar","TX",NA,69,65.5128689740245,10.05,6.41,87,84,2003554,48029,TRUE,"EmergingHotspot"
"Harris","TX",NA,63.3,60.149452638829,10.57,6.91,87,89,4713325,48201,TRUE,"Hotspot"
"New York","NY",NA,84.6,83.9987656031904,4.57,3.13,70,75,1628706,36061,TRUE,"SustainedHotspot"
"Kings","NY",NA,71.5,70.436183814222,6.27,4.42,70,75,2559903,36047,TRUE,"Hotspot"
"DeKalb","GA",NA,56,52.3461509019006,12.16,7.45,74,74,759297,13089,TRUE,"EmergingHotspot"
"Cobb","GA",NA,58,54.0856346377078,11.95,7.32,74,87,760141,13067,TRUE,"EmergingHotspot"
"Fulton","GA",NA,56.1,52.5887143463279,10.85,6.6,74,74,1063937,13121,TRUE,"EmergingHotspot"
"Miami-Dade","FL",NA,84.3,82.1473235181184,11.25,7.19,73,70,2716940,12086,TRUE,"ModerateBurden"
"San Diego","CA",NA,70.2,67.6761967841694,6.17,3.01,71,71,3338330,6073,TRUE,"ModerateBurdenResolving"
"Middlesex","MA",NA,78.9,76.8101342030113,4.02,2.94,76,77,1611699,25017,TRUE,"Hotspot"
"King","WA",NA,80.7,78.7242602415645,5.56,4.05,78,73,2252782,53033,TRUE,"ModerateBurdenResolving"
"Queens","NY",NA,85.7,85.3429515274726,5.1,3.6,70,75,2253858,36081,TRUE,"Hotspot"
"Onondaga","NY",NA,73.2,69.0765644018706,6.55,4.53,70,82,460528,36067,TRUE,"SustainedHotspot"
"Fort Bend","TX",NA,71.3,68.0644759518091,7.95,5.24,87,89,811688,48157,TRUE,"EmergingHotspot"
"Nassau","NY",NA,80.9,77.7487597689174,4.77,3.43,70,61,1356924,36059,TRUE,"Hotspot"
"Santa Clara","CA",NA,85.8,84.3081811230323,4.13,2.06,71,78,1927852,6085,TRUE,"ModerateBurden"
"Hidalgo","TX",NA,72.7,70.6608232633004,10.74,6.95,87,87,868707,48215,TRUE,"SustainedHotspot"
"Collin","TX",NA,67,64.1524045616057,8.3,5.42,87,89,1034730,48085,TRUE,"SustainedHotspot"
"Broward","FL",NA,70.9,66.7613319225745,12.15,7.91,73,70,1952778,12011,TRUE,"ModerateBurden"
"Fresno","CA",NA,60.8,56.944811158918,7.06,3.45,71,81,999101,6019,TRUE,"ModerateBurdenResolving"
"Suffolk","MA",NA,72.9,71.4095418751564,4.42,3.17,76,77,803907,25025,TRUE,"Hotspot"
"Gwinnett","GA",NA,54.9,51.1419581453946,11.78,7.24,74,74,936250,13135,TRUE,"EmergingHotspot"
"Wayne","MI",NA,54,48.883178846122,9.88,6.02,73,71,1749343,26163,TRUE,"ModerateBurden"
"Bergen","NJ",NA,77,74.4802335581615,3.86,2.63,41,37,932202,34003,TRUE,"SustainedHotspot"
"Fairfield","CT",NA,80.9,78.3118334537853,4.99,2.78,64,45,943332,9001,TRUE,"Hotspot"
"Westchester","NY",NA,80.1,77.936085586341,5.03,3.57,70,59,967506,36119,TRUE,"Hotspot"
"Alameda","CA",NA,81.7,79.7830415228236,4.79,2.37,71,67,1671329,6001,TRUE,"EmergingHotspot"
"Suffolk","NY",NA,75.3,71.3156976268163,5.53,3.94,70,61,1476601,36103,TRUE,"Hotspot"
"Cumberland","NC",NA,60.3,56.657846786056,14.61,11.12,78,85,335509,37051,TRUE,"SustainedHotspot"
"Dallas","TX",NA,60.1,56.9648071295781,10.78,7.04,87,89,2635516,48113,TRUE,"ModerateBurden"
"Providence","RI",NA,70.2,65.9137332445545,7.24,5.35,84,86,638931,44007,TRUE,"ModerateBurden"
"Travis","TX",NA,69.4,67.3161903677771,9.16,5.88,87,94,1273954,48453,TRUE,"EmergingHotspot"
"San Francisco","CA",NA,83.2,81.9355400380971,3.88,1.92,71,67,881549,6075,TRUE,"EmergingHotspot"
"Macomb","MI",NA,56.7,50.7723014115851,9.14,5.59,73,71,873972,26099,TRUE,"ModerateBurden"
"Clark","NV",NA,57.2,53.2170890723793,11.83,6.24,75,77,2266715,32003,TRUE,"Hotspot"
"Orange","CA",NA,71.4,68.1322901452617,5.37,2.64,71,71,3175692,6059,TRUE,"ModerateBurden"
"Honolulu","HI",NA,77.8,74.6127619672959,5.07,2.75,60,59,974563,15003,FALSE,"EmergingHotspot"
"Palm Beach","FL",NA,65.8,58.8971054104031,11.38,7.46,73,66,1496770,12099,TRUE,"ModerateBurden"
"Norfolk","MA",NA,78.5,76.3989184900104,3.8,2.81,76,77,706775,25021,TRUE,"Hotspot"
"San Bernardino","CA",NA,57.5,53.9870922397528,7.4,3.61,71,66,2180085,6071,TRUE,"ModerateBurden"
"Orange","FL",NA,69,65.4684477192638,12.38,7.97,73,75,1393452,12095,TRUE,"ModerateBurden"
"Bronx","NY",NA,74.3,72.570897450091,6.76,4.65,70,75,1418207,36005,TRUE,"Hotspot"
"Middlesex","NJ",NA,73.2,71.0232720603882,4.1,2.79,41,46,825062,34023,TRUE,"Hotspot"
"Fairfax","VA",NA,76.1,74.4978298389418,3.71,2.56,65,69,1147532,51059,TRUE,"EmergingHotspot"
"Hennepin","MN",NA,73.8,70.5015911329652,6.19,3.3,69,76,1265843,27053,TRUE,"EmergingHotspot"
"DuPage","IL",NA,76.9,73.4093445469687,6.3,3.81,62,67,922921,17043,TRUE,"Hotspot"
"Monroe","NY",NA,72.1,67.7278221488826,6.36,4.38,70,74,741770,36055,TRUE,"Hotspot"
"Sacramento","CA",NA,67.3,63.4172495474477,6.87,3.37,71,85,1552058,6067,TRUE,"ModerateBurden"
"Wayne","NC",NA,48.3,43.3194435204351,14.29,10.93,78,81,123131,37191,TRUE,"SustainedHotspot"
"Erie","NY",NA,69.6,65.4955509098616,6.44,4.45,70,74,918702,36029,TRUE,"Hotspot"
"Pinal","AZ",NA,53.5,47.5247087848299,16.35,12.58,66,67,462789,4021,TRUE,"EmergingHotspot"
"Wake","NC",NA,72.3,69.1426524317128,10.18,7.69,78,86,1111761,37183,TRUE,"ModerateBurdenResolving"
"Oakland","MI",NA,66.1,61.4312746294181,7.19,4.36,73,71,1257584,26125,TRUE,"ModerateBurden"
"Contra Costa","CA",NA,81.4,78.6969808659577,5.43,2.7,71,67,1153526,6013,TRUE,"ModerateBurden"
"Essex","NJ",NA,71.9,69.9102302642261,5.35,3.61,41,46,798975,34013,TRUE,"Hotspot"
"Pima","AZ",NA,68.4,61.9016102277139,13.71,10.32,66,61,1047279,4019,TRUE,"ModerateBurdenResolving"
"New Haven","CT",NA,77,73.5297846186278,5.79,3.18,64,61,854757,9009,TRUE,"ModerateBurden"
"Cameron","TX",NA,78.7,76.303552518749,10.5,6.83,87,89,423163,48061,TRUE,"SustainedHotspot"
"Philadelphia","PA",NA,68.8,65.1975485166006,10.96,7.09,76,75,1584064,42101,TRUE,"Hotspot"
"Essex","MA",NA,73.4,70.1563952014254,4.5,3.3,76,80,789034,25009,TRUE,"Hotspot"
"Dane","WI",NA,82.5,80.1697261880577,12.19,6.99,67,80,546695,55025,TRUE,"EmergingHotspot"
"Houston","AL",NA,43,36.0130626356232,17.68,13.44,79,78,105882,1069,TRUE,"Hotspot"
"Hartford","CT",NA,75.4,71.2470095351473,5.31,2.9,64,76,891720,9003,TRUE,"Hotspot"
"Hudson","NJ",NA,77.3,76.7854634190654,4.66,3.07,41,37,672391,34017,TRUE,"Hotspot"
"Worcester","MA",NA,69.4,66.0734634171666,4.9,3.56,76,91,830622,25027,TRUE,"ModerateBurden"
"Monmouth","NJ",NA,67.8,64.1108390624987,4.4,3,41,33,618795,34025,TRUE,"Hotspot"
"Tulsa","OK",NA,61.2,55.7620268187895,16.69,11.39,76,81,651552,40143,TRUE,"ModerateBurden"
"Snohomish","WA",NA,70.5,67.1345413420426,7.06,5.15,78,73,822083,53061,TRUE,"ModerateBurdenResolving"
"Orange","NY",NA,64.5,60.6600142946214,6.67,4.71,70,47,384940,36071,TRUE,"Hotspot"
"Montgomery","MD",NA,86.5,84.7907430435951,5.26,2.76,66,64,1050688,24031,TRUE,"EmergingHotspot"
"Hillsborough","FL",NA,62.4,57.7802532913099,12.89,8.33,73,73,1471968,12057,TRUE,"ModerateBurden"
"Morris","NJ",NA,77.2,74.2997645885151,3.97,2.71,41,49,491845,34027,TRUE,"Hotspot"
"Riverside","CA",NA,58.6,54.2791786357778,6.9,3.35,71,66,2470546,6065,TRUE,"ModerateBurden"
"St. Louis","MO",NA,63.5,58.0707432420758,10.67,6.16,72,77,994205,29189,TRUE,"EmergingHotspot"
"Multnomah","OR",NA,78.8,76.0601269227038,9.25,6.77,72,77,812855,41051,TRUE,"ModerateBurden"
"Union","NJ",NA,70.9,69.6760409176676,5.04,3.4,41,46,556341,34039,TRUE,"EmergingHotspot"
"Anchorage Municipality","AK",NA,67,63.5519994924609,16.48,11.89,77,86,288000,2020,TRUE,"ModerateBurden"
"Franklin","OH",NA,64.1,60.3685038363079,12.67,7.41,67,86,1316756,39049,TRUE,"ModerateBurden"
"Washtenaw","MI",NA,70.8,66.6345619733401,7.08,4.32,73,71,367601,26161,TRUE,"EmergingHotspot"
"Ocean","NJ",NA,54.1,46.4274607691833,5.48,3.72,41,33,607186,34029,TRUE,"ModerateBurden"
"San Mateo","CA",NA,83.4,81.5206060528042,4.28,2.15,71,67,766573,6081,TRUE,"ModerateBurden"
"Lake","IL",NA,77.7,75.4366341742012,7.12,4.33,62,67,696535,17097,TRUE,"ModerateBurden"
"Oklahoma","OK",NA,64.4,59.9691815874406,16.79,11.37,76,77,797434,40109,TRUE,"ModerateBurden"
"Tompkins","NY",NA,79.1,76.2384686346864,5.6,3.93,70,76,102180,36109,TRUE,"SustainedHotspot"
"Midland","TX",NA,42.9,39.1812180112847,10.34,6.7,87,81,176832,48329,TRUE,"SustainedHotspot"
"Richmond","NY",NA,73.7,70.658213966378,5.67,4.01,70,75,476143,36085,TRUE,"EmergingHotspot"
"Albemarle","VA",NA,64.5,60.6762559237572,5.5,3.78,65,62,109330,51003,TRUE,"EmergingHotspot"
"Jackson","MO",NA,56.7,51.7998433940943,12.94,7.51,72,74,703011,29095,TRUE,"EmergingHotspot"
"Butler","OH",NA,56.6,51.4652379644683,13.36,8.01,67,73,383134,39017,TRUE,"ModerateBurdenResolving"
"Milwaukee","WI",NA,64,59.7422173273928,15.05,8.8,67,73,945726,55079,TRUE,"ModerateBurden"
"Monterey","CA",NA,72,69.6663401170917,6.77,3.33,71,78,434061,6053,TRUE,"ModerateBurden"
"Clayton","GA",NA,43.3,39.184626331574,15.41,9.65,74,74,292256,13063,TRUE,"EmergingHotspot"
"Mecklenburg","NC",NA,62.5,59.0782804395679,11.09,8.32,78,81,1110356,37119,TRUE,"ModerateBurden"
"Montgomery","PA",NA,75.8,71.7679543569224,8.56,5.61,76,75,830915,42091,TRUE,"ModerateBurden"
"Montgomery","TX",NA,54.4,50.0862692584817,10.86,7.25,87,89,607391,48339,TRUE,"Hotspot"
"Cuyahoga","OH",NA,64.6,59.3548870698779,12.19,7.13,67,75,1235072,39035,TRUE,"ModerateBurden"
"Will","IL",NA,67.6,64.1020694119239,7.84,4.77,62,56,690743,17197,TRUE,"ModerateBurden"
"Oswego","NY",NA,59.2,53.7767096511173,7.98,5.6,70,82,117124,36075,TRUE,"SustainedHotspot"
"Passaic","NJ",NA,69.8,67.1918056001222,5.33,3.59,41,37,501826,34031,TRUE,"ModerateBurdenResolving"
"Allegheny","PA",NA,69.2,65.104006811603,9.34,5.99,76,77,1216045,42003,TRUE,"ModerateBurden"
"Spokane","WA",NA,61,55.1154684806733,8.37,6.03,78,74,522798,53063,TRUE,"ModerateBurdenResolving"
"Johnson","TX",NA,45.9,40.5612049019103,13.46,9.07,87,89,175817,48251,TRUE,"EmergingHotspot"
