"DATE","TOTAL_CASES","NEW_CASES","TOTAL_CONFIRMED","NEW_CONFIRMED","TOTAL_PROBABLE","NEW_PROBABLE","POS_TESTS","NEW_POS_TESTS","NEG_TESTS","NEW_NEG_TESTS","TOTAL_TESTS","NEW_TESTS","NEW_DEATHS","TOTAL_DEATHS","NEW_HOSPITALIZED","TOTAL_HOSPITALIZED","TOTAL_DEATHS_BY_DOD","NEW_DEATHS_BY_DOD","Region","Population","New_cases_per_100k_per_week","PositivityRate_per_week","Tests_per_100k","New_cases_per_100k","PositivityPercentage_per_week"
2022-07-09,135354,118,103732,77,31622,41,112086,78,570246,104,682332,182,0,1423,0,2772,1423,0,"Knox County",470313,NA,NA,38.6976332782636,25.0896743232698,NA
2022-07-08,135236,195,103655,125,31581,70,112008,136,570142,304,682150,440,1,1423,0,2772,1423,0,"Knox County",470313,NA,NA,93.5547178155824,41.4617499409967,NA
2022-07-07,135041,181,103530,104,31511,77,111872,110,569838,204,681710,314,0,1422,0,2772,1423,1,"Knox County",470313,NA,NA,66.7640486229383,38.4850089195918,NA
2022-07-06,134860,226,103426,153,31434,73,111762,161,569634,229,681396,390,3,1422,0,2772,1422,0,"Knox County",470313,NA,NA,82.9234998819935,48.0531050598219,NA
2022-07-05,134634,162,103273,116,31361,46,111601,126,569405,119,681006,245,0,1419,0,2772,1422,0,"Knox County",470313,NA,NA,52.0929678745856,34.4451461048281,NA
2022-07-04,134472,79,103157,43,31315,36,111475,47,569286,123,680761,170,1,1419,0,2772,1422,0,"Knox County",470313,NA,NA,36.1461409742023,16.7973243350705,NA
2022-07-03,134393,105,103114,64,31279,41,111428,69,569163,159,680591,228,0,1418,0,2772,1422,0,"Knox County",470313,226.657566344116,0.369222955815135,48.4783537771654,22.3255576605367,36.9222955815135
2022-07-02,134288,108,103050,75,31238,33,111359,79,569004,200,680363,279,0,1418,0,2772,1422,2,"Knox County",470313,224.531322757398,0.352371732817038,59.3221960694261,22.963430736552,35.2371732817038
2022-07-01,134180,180,102975,123,31205,57,111280,130,568804,318,680084,448,0,1418,0,2772,1420,0,"Knox County",470313,221.341957377321,0.348119575699132,95.2557126849566,38.2723845609201,34.8119575699132
2022-06-30,134000,193,102852,118,31148,75,111150,124,568486,308,679636,432,1,1418,1,2772,1420,1,"Knox County",470313,223.893449681382,0.335766423357664,91.8537229462082,41.0365012236532,33.5766423357664
2022-06-29,133807,182,102734,120,31073,62,111026,132,568178,244,679204,376,2,1417,0,2771,1419,1,"Knox County",470313,214.537977899824,0.324609733700643,79.9467588605886,38.6976332782636,32.4609733700643
2022-06-28,133625,182,102614,115,31011,67,110894,123,567934,265,678828,388,1,1415,0,2771,1418,0,"Knox County",470313,218.79046507326,0.303317535545024,82.4982511646499,38.6976332782636,30.3317535545024
2022-06-27,133443,142,102499,98,30944,44,110771,101,567669,167,678440,268,0,1414,0,2771,1418,0,"Knox County",470313,232.185799669582,0.313352625051674,56.9833281240365,30.1926589313925,31.3352625051674
2022-06-26,133301,89,102401,57,30900,32,110670,62,567502,168,678172,230,0,1414,0,2771,1418,0,"Knox County",470313,228.783809930833,0.310202395704254,48.903602494509,18.9235679217883,31.0202395704254
2022-06-25,133212,104,102344,60,30868,44,110608,71,567334,203,677942,274,0,1414,0,2771,1418,0,"Knox County",470313,227.933312496146,0.307533112582781,58.2590742760672,22.1129333018649,30.7533112582781
2022-06-24,133108,145,102284,119,30824,26,110537,128,567131,386,677668,514,0,1414,1,2771,1418,2,"Knox County",470313,220.491459942634,0.298549556809025,109.288920357294,30.8305320074078,29.8549556809025
2022-06-23,132963,185,102165,128,30798,57,110409,136,566745,304,677154,440,1,1414,1,2770,1416,0,"Knox County",470313,218.79046507326,0.302409638554217,93.5547178155824,39.335506354279,30.2409638554217
2022-06-22,132778,182,102037,127,30741,55,110273,131,566441,332,676714,463,0,1413,0,2769,1416,0,"Knox County",470313,218.79046507326,0.291812184710904,98.4450780650333,38.6976332782636,29.1812184710904
2022-06-21,132596,177,101910,87,30686,90,110142,95,566109,175,676251,270,1,1413,0,2769,1416,0,"Knox County",470313,217.727343279901,0.294428629524197,57.4085768413801,37.6345114849047,29.4428629524197
2022-06-20,132419,120,101823,84,30596,36,110047,91,565934,157,675981,248,0,1412,0,2769,1416,1,"Knox County",470313,213.049607389122,0.292742927429274,52.730840950601,25.5149230406134,29.2742927429274
2022-06-19,132299,90,101739,60,30560,30,109956,65,565777,198,675733,263,0,1412,0,2769,1415,0,"Knox County",470313,213.262231747793,0.29004854368932,55.9202063306777,19.13619228046,29.004854368932
2022-06-18,132209,99,101679,81,30530,18,109891,87,565579,194,675470,281,-1,1412,0,2769,1415,0,"Knox County",470313,212.199109954435,0.295683743444937,59.7474447867697,21.049811508506,29.5683743444937
2022-06-17,132110,133,101598,84,30512,49,109804,89,565385,254,675189,343,3,1413,1,2769,1415,1,"Knox County",470313,209.647617650373,0.300693240901213,72.9301550244199,28.2790397033465,30.0693240901213
2022-06-16,131977,138,101514,104,30463,34,109715,108,565131,301,674846,409,1,1410,0,2768,1414,0,"Knox County",470313,199.6542727928,0.292490118577075,86.9633626967573,29.3421614967054,29.2490118577075
2022-06-15,131839,113,101410,81,30429,32,109607,85,564830,264,674437,349,0,1409,0,2768,1414,1,"Knox County",470313,184.983192044447,0.286638927415626,74.2059011764506,24.0265525299109,28.6638927415626
2022-06-14,131726,170,101329,106,30397,64,109522,114,564566,244,674088,358,2,1409,0,2768,1413,0,"Knox County",470313,183.494821533745,0.283873833851622,76.1195204044966,36.1461409742023,28.3873833851622
2022-06-13,131556,117,101223,71,30333,46,109408,71,564322,150,673730,221,1,1407,0,2768,1413,2,"Knox County",470313,182.856948457729,0.278327338129496,46.989983266463,24.877049964598,27.8327338129496
2022-06-12,131439,79,101152,44,30287,35,109337,48,564172,129,673509,177,1,1406,1,2768,1411,2,"Knox County",470313,180.51808051234,0.281571562207671,37.6345114849047,16.7973243350705,28.1571562207671
2022-06-11,131360,102,101108,81,30252,21,109289,93,564043,227,673332,320,0,1405,0,2767,1409,0,"Knox County",470313,181.155953588355,0.279283417547083,68.039794774969,21.6876845845214,27.9283417547083
2022-06-10,131258,123,101027,76,30231,47,109196,88,563816,368,673012,456,0,1405,2,2767,1409,0,"Knox County",470313,179.029710001637,0.265065502183406,96.9567075543308,26.1527961166287,26.5065502183406
2022-06-09,131135,161,100951,107,30184,54,109108,114,563448,330,672556,444,1,1405,0,2765,1409,0,"Knox County",470313,183.920070251088,0.263655913978495,94.4052152502695,34.2325217461563,26.3655913978495
2022-06-08,130974,150,100844,100,30130,50,108994,116,563118,324,672112,440,0,1404,0,2765,1409,0,"Knox County",470313,191.787171521944,0.266556291390728,93.5547178155824,31.8936538007667,26.6556291390728
2022-06-07,130824,121,100744,70,30080,51,108878,71,562794,169,671672,240,0,1404,0,2765,1409,0,"Knox County",470313,181.368577947027,0.261531766753699,51.0298460812268,25.7275473992852,26.1531766753699
2022-06-06,130703,116,100674,79,30029,37,108807,81,562625,280,671432,361,0,1404,1,2765,1409,0,"Knox County",470313,181.155953588355,0.250615258408532,76.7573934805119,24.6644256059263,25.0615258408532
2022-06-05,130587,75,100595,54,29992,21,108726,57,562345,233,671071,290,3,1404,1,2764,1409,0,"Knox County",470313,180.305456153668,0.243041944335555,61.6610640148157,15.9468269003834,24.3041944335555
2022-06-04,130512,86,100541,72,29971,14,108669,76,562112,300,670781,376,0,1401,0,2763,1409,1,"Knox County",470313,176.903466414919,0.231300345224396,79.9467588605886,18.2856948457729,23.1300345224396
2022-06-03,130426,132,100469,90,29957,42,108593,96,561812,346,670405,442,0,1401,1,2763,1408,3,"Knox County",470313,178.817085642965,0.235634400308523,93.9799665329259,28.0664153446747,23.5634400308523
2022-06-02,130294,114,100379,88,29915,26,108497,96,561466,284,669963,380,0,1401,0,2762,1405,0,"Knox County",470313,168.823740785392,0.234480031633057,80.7972562952757,24.2391768885827,23.4480031633057
2022-06-01,130180,169,100291,90,29889,79,108401,105,561182,303,669583,408,1,1401,1,2762,1405,0,"Knox County",470313,172.863603600156,0.233079695634762,86.7507383380855,35.9335166155305,23.3079695634762
2022-05-31,130011,129,100201,94,29810,35,108296,96,560879,214,669175,310,0,1400,2,2761,1405,0,"Knox County",470313,174.56459846953,0.236462797039346,65.9135511882512,27.4285422686594,23.6462797039346
2022-05-30,129882,57,100107,32,29775,25,108200,36,560665,118,668865,154,0,1400,3,2759,1405,0,"Knox County",470313,162.019761307895,0.238135593220339,32.7441512354538,12.1195884442914,23.8135593220339
2022-05-29,129825,56,100075,43,29750,13,108164,46,560547,200,668711,246,0,1400,0,2756,1405,1,"Knox County",470313,157.979898493131,0.237910189982729,52.3055922332574,11.9069640856196,23.7910189982729
2022-05-28,129769,69,100032,56,29737,13,108118,58,560347,229,668465,287,0,1400,0,2756,1404,0,"Knox County",470313,154.365284395711,0.23933542882802,61.0231909388003,14.6710807483527,23.933542882802
2022-05-27,129700,98,99976,66,29724,32,108060,67,560118,417,668178,484,2,1400,2,2756,1404,0,"Knox County",470313,147.13605620087,0.222124283825474,102.910189597141,20.8371871498343,22.2124283825474
