"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Los Angeles","CA",NA,71.5,69.2142965062765,6.02,2.91,72,72,10039107,6037,TRUE,"ModerateBurdenResolving"
"Maricopa","AZ",NA,56.5,51.4848548796279,13.9,10.49,64,66,4485414,4013,TRUE,"HighBurdenResolving"
"Cook","IL",NA,71.9,69.7296246235492,7.32,4.4,62,68,5150233,17031,TRUE,"ModerateBurdenResolving"
"San Diego","CA",NA,69.8,67.3250710125595,6.17,3.01,72,74,3338330,6073,TRUE,"HighBurdenResolving"
"Bexar","TX",NA,68.8,65.2541267714163,10.05,6.41,88,88,2003554,48029,TRUE,"SustainedHotspot"
"El Paso","TX",NA,80,77.6872223228537,9.65,6.08,88,97,839238,48141,TRUE,"EmergingHotspot"
"New Haven","CT",NA,76.7,73.1674870903555,5.79,3.18,67,63,854757,9009,TRUE,"EmergingHotspot"
"Hidalgo","TX",NA,71.9,69.8047093316187,10.74,6.95,88,92,868707,48215,TRUE,"SustainedHotspot"
"Clark","NV",NA,56.9,52.9635230858561,11.83,6.24,77,79,2266715,32003,TRUE,"ModerateBurdenResolving"
"Collin","TX",NA,66.7,63.9317648540753,8.3,5.42,88,90,1034730,48085,TRUE,"SustainedHotspot"
"Harris","TX",NA,62.9,59.7158248442057,10.57,6.91,88,91,4713325,48201,TRUE,"ModerateBurdenResolving"
"Kern","CA",NA,53.1,49.4738906872517,8.21,4.04,72,79,900202,6029,TRUE,"HighBurdenResolving"
"Oklahoma","OK",NA,64.1,59.6592222789636,16.79,11.37,77,80,797434,40109,TRUE,"EmergingHotspot"
"King","WA",NA,80.4,78.3986323254074,5.56,4.05,80,75,2252782,53033,TRUE,"HighBurdenResolving"
"Miami-Dade","FL",NA,83.9,81.6085318104239,11.25,7.19,74,70,2716940,12086,TRUE,"ModerateBurdenResolving"
"New York","NY",NA,84.3,83.6582041893378,4.57,3.13,71,74,1628706,36061,TRUE,"ModerateBurdenResolving"
"Kings","NY",NA,71.1,70.0500460923586,6.27,4.42,71,74,2559903,36047,TRUE,"ModerateBurdenResolving"
"San Bernardino","CA",NA,57.3,53.688529265969,7.4,3.61,72,69,2180085,6071,TRUE,"ModerateBurdenResolving"
"Middlesex","MA",NA,78.8,76.6434147289373,4.02,2.94,76,78,1611699,25017,TRUE,"SustainedHotspot"
"Orange","CA",NA,71.2,67.888458644968,5.37,2.64,72,72,3175692,6059,TRUE,"ModerateBurdenResolving"
"Tarrant","TX",NA,56,52.3253874755369,10.69,7.01,88,88,2102515,48439,TRUE,"HighBurdenResolving"
"Dallas","TX",NA,59.9,56.6989739668081,10.78,7.04,88,90,2635516,48113,TRUE,"ModerateBurdenResolving"
"Fairfield","CT",NA,80.6,78.0062388498307,4.99,2.78,67,54,943332,9001,TRUE,"EmergingHotspot"
"Clark","WA",NA,64.1,58.694313018971,7.63,5.56,80,78,488241,53011,TRUE,"SustainedHotspot"
"Santa Clara","CA",NA,85.6,84.0244456130424,4.13,2.06,72,73,1927852,6085,TRUE,"ModerateBurdenResolving"
"Kootenai","ID",NA,45.9,37.2117971529861,19.3,12.59,62,60,165697,16055,TRUE,"SustainedHotspot"
