"DATE","TOTAL_CASES","NEW_CASES","TOTAL_CONFIRMED","NEW_CONFIRMED","TOTAL_PROBABLE","NEW_PROBABLE","POS_TESTS","NEW_POS_TESTS","NEG_TESTS","NEW_NEG_TESTS","TOTAL_TESTS","NEW_TESTS","NEW_DEATHS","TOTAL_DEATHS","NEW_HOSPITALIZED","TOTAL_HOSPITALIZED","TOTAL_DEATHS_BY_DOD","NEW_DEATHS_BY_DOD","Region","Population","New_cases_per_100k_per_week","PositivityRate_per_week","Tests_per_100k","New_cases_per_100k","PositivityPercentage_per_week"
2022-06-25,133237,104,102354,60,30883,44,110622,71,567334,203,677956,274,0,1414,0,2766,1414,0,"Knox County",470313,NA,NA,58.2590742760672,22.1129333018649,NA
2022-06-24,133133,144,102294,119,30839,25,110551,128,567131,386,677682,514,0,1414,0,2766,1414,0,"Knox County",470313,NA,NA,109.288920357294,30.6179076487361,NA
2022-06-23,132989,185,102175,127,30814,58,110423,136,566745,304,677168,440,1,1414,0,2766,1414,0,"Knox County",470313,NA,NA,93.5547178155824,39.335506354279,NA
2022-06-22,132804,182,102048,126,30756,56,110287,131,566441,332,676728,463,0,1413,0,2766,1414,0,"Knox County",470313,NA,NA,98.4450780650333,38.6976332782636,NA
2022-06-21,132622,178,101922,86,30700,92,110156,95,566109,175,676265,270,1,1413,0,2766,1414,0,"Knox County",470313,NA,NA,57.4085768413801,37.8471358435765,NA
2022-06-20,132444,120,101836,84,30608,36,110061,91,565934,157,675995,248,0,1412,0,2766,1414,1,"Knox County",470313,NA,NA,52.730840950601,25.5149230406134,NA
2022-06-19,132324,90,101752,59,30572,31,109970,65,565777,198,675747,263,0,1412,0,2766,1413,0,"Knox County",470313,213.262231747793,0.29004854368932,55.9202063306777,19.13619228046,29.004854368932
2022-06-18,132234,99,101693,80,30541,19,109905,87,565579,194,675484,281,-1,1412,0,2766,1413,0,"Knox County",470313,212.199109954435,0.295683743444937,59.7474447867697,21.049811508506,29.5683743444937
2022-06-17,132135,133,101613,83,30522,50,109818,89,565385,254,675203,343,3,1413,0,2766,1413,0,"Knox County",470313,209.860242009045,0.300693240901213,72.9301550244199,28.2790397033465,30.0693240901213
2022-06-16,132002,138,101530,103,30472,35,109729,108,565131,301,674860,409,1,1410,0,2766,1413,0,"Knox County",470313,199.866897151471,0.292490118577075,86.9633626967573,29.3421614967054,29.2490118577075
2022-06-15,131864,113,101427,80,30437,33,109621,85,564830,264,674451,349,0,1409,0,2766,1413,0,"Knox County",470313,185.195816403119,0.286638927415626,74.2059011764506,24.0265525299109,28.6638927415626
2022-06-14,131751,169,101347,105,30404,64,109536,114,564566,244,674102,358,2,1409,0,2766,1413,0,"Knox County",470313,183.282197175073,0.283873833851622,76.1195204044966,35.9335166155305,28.3873833851622
2022-06-13,131582,117,101242,71,30340,46,109422,71,564322,150,673744,221,1,1407,0,2766,1413,2,"Knox County",470313,182.644324099057,0.278327338129496,46.989983266463,24.877049964598,27.8327338129496
2022-06-12,131465,79,101171,44,30294,35,109351,48,564172,129,673523,177,1,1406,1,2766,1411,2,"Knox County",470313,180.305456153668,0.281571562207671,37.6345114849047,16.7973243350705,28.1571562207671
2022-06-11,131386,102,101127,81,30259,21,109303,93,564043,227,673346,320,0,1405,0,2765,1409,0,"Knox County",470313,180.943329229683,0.279283417547083,68.039794774969,21.6876845845214,27.9283417547083
2022-06-10,131284,123,101046,76,30238,47,109210,88,563816,368,673026,456,0,1405,1,2765,1409,0,"Knox County",470313,178.817085642965,0.265065502183406,96.9567075543308,26.1527961166287,26.5065502183406
2022-06-09,131161,161,100970,107,30191,54,109122,114,563448,330,672570,444,1,1405,0,2764,1409,0,"Knox County",470313,183.707445892416,0.263655913978495,94.4052152502695,34.2325217461563,26.3655913978495
2022-06-08,131000,150,100863,100,30137,50,109008,116,563118,324,672126,440,0,1404,0,2764,1409,0,"Knox County",470313,191.574547163272,0.266556291390728,93.5547178155824,31.8936538007667,26.6556291390728
2022-06-07,130850,121,100763,70,30087,51,108892,71,562794,169,671686,240,0,1404,0,2764,1409,0,"Knox County",470313,181.368577947027,0.261531766753699,51.0298460812268,25.7275473992852,26.1531766753699
2022-06-06,130729,116,100693,79,30036,37,108821,81,562625,280,671446,361,0,1404,0,2764,1409,0,"Knox County",470313,181.155953588355,0.250615258408532,76.7573934805119,24.6644256059263,25.0615258408532
2022-06-05,130613,75,100614,54,29999,21,108740,57,562345,233,671085,290,3,1404,1,2764,1409,0,"Knox County",470313,180.305456153668,0.243041944335555,61.6610640148157,15.9468269003834,24.3041944335555
2022-06-04,130538,86,100560,72,29978,14,108683,76,562112,300,670795,376,0,1401,0,2763,1409,1,"Knox County",470313,176.903466414919,0.231300345224396,79.9467588605886,18.2856948457729,23.1300345224396
2022-06-03,130452,132,100488,90,29964,42,108607,96,561812,346,670419,442,0,1401,1,2763,1408,3,"Knox County",470313,178.817085642965,0.235634400308523,93.9799665329259,28.0664153446747,23.5634400308523
2022-06-02,130320,114,100398,88,29922,26,108511,96,561466,284,669977,380,0,1401,0,2762,1405,0,"Knox County",470313,168.823740785392,0.234480031633057,80.7972562952757,24.2391768885827,23.4480031633057
2022-06-01,130206,169,100310,90,29896,79,108415,105,561182,303,669597,408,1,1401,1,2762,1405,0,"Knox County",470313,172.863603600156,0.233079695634762,86.7507383380855,35.9335166155305,23.3079695634762
2022-05-31,130037,129,100220,94,29817,35,108310,96,560879,214,669189,310,0,1400,2,2761,1405,0,"Knox County",470313,174.56459846953,0.236462797039346,65.9135511882512,27.4285422686594,23.6462797039346
2022-05-30,129908,57,100126,32,29782,25,108214,36,560665,118,668879,154,0,1400,3,2759,1405,0,"Knox County",470313,162.019761307895,0.238135593220339,32.7441512354538,12.1195884442914,23.8135593220339
2022-05-29,129851,56,100094,43,29757,13,108178,46,560547,200,668725,246,0,1400,0,2756,1405,1,"Knox County",470313,157.979898493131,0.237910189982729,52.3055922332574,11.9069640856196,23.7910189982729
2022-05-28,129795,69,100051,56,29744,13,108132,58,560347,229,668479,287,0,1400,0,2756,1404,0,"Knox County",470313,154.365284395711,0.23933542882802,61.0231909388003,14.6710807483527,23.933542882802
